formula_supercon,tc_K,sc_class,spacegroup,point_group,mp_ordering,verdict,mp_id
Ir0.1Si1.9Th1,2.75,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-7497
Ir0.22Ru0.78,0.21,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-862620
Ir0.26Mo0.74,6.7,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1120
Ir0.2Ru1.8Th1,3.1,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-574438
Ir0.43Ru0.57,0.18,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-974421
Ir0.49Mo0.51,1.81,Other,P m m a,mmm,NM,EXCLUDED,mp-11481
Ir0.55Re0.15,0.61,Other,R -3 m,-3m,NM,CANDIDATE,mp-1219535
Ir0.5Os0.5,1.69,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1223655
Ir0.5Te0.5,1.5,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-10187
Ir0.69Y0.31,1.98,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-2762
Ir0.71Mo0.29,0.12,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-11482
Ir0.75Os0.25,0.4,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1184761
Ir0.75Rh0.25,0.026,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-863709
Ir0.7Nb3Rh0.3,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1458
Ir0.7Re0.3,1.7,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-867792
Ir0.7Rh0.3,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1184771
Ir0.85Nb0.15Pt3,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1184759
Ir0.85Pt0.15Te2,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-569322
Ir0.8Os1.2Th1,3.22,Other,I m m a,mmm,NM,EXCLUDED,mp-1217331
Ir1,0.091333333,Other,P m m a,mmm,FM,EXCLUDED,mp-1060567
Ir1.05Nb0.95,4.75,Other,P 4/m m m,4/mmm,NM,EXCLUDED,mp-1359
Ir1.8Os0.2Th1,5.66,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1187
Ir1La1P1,5.3,Other,I 41 m d,4mm,NM,EXCLUDED,mp-12919
Ir1La1Si1,2.3,Other,P 21 3,23,NM,EXCLUDED,mp-3555
Ir1La1Si3,1.473333333,Other,I 4 m m,4mm,NM,EXCLUDED,mp-2914
Ir1La3,0.0,Other,C 1 2/c 1,2/m,NM,EXCLUDED,mp-1104396
Ir1Lu1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1529
Ir1Lu3,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1189562
Ir1Nb1Si1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-21248
Ir1Nd1Si1,0.0,Other,P 21 3,23,NM,EXCLUDED,mp-1102140
Ir1P1Sc1,3.46,Other,P -6 2 m,-62m,NM,CANDIDATE,mp-1080665
Ir1Sb1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-10125
Ir1Sc1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1129
Ir1Sc3,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1209069
Ir1Se2,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1361
Ir1Se2.9,0.0,Other,R -3,-3,NM,CANDIDATE,mp-9888
Ir1Si1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1128
Ir1Si1Ta1,0.5,Other,P n m a,mmm,NM,EXCLUDED,mp-21316
Ir1Si1Tb1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-20383
Ir1Si1Th1,6.5,Other,I 41 m d,4mm,NM,EXCLUDED,mp-1206779
Ir1Si1Ti1,1.675,Other,P n m a,mmm,NM,EXCLUDED,mp-1103248
Ir1Si1Y1,2.7,Other,P n m a,mmm,NM,EXCLUDED,mp-1102268
Ir1Si1Zr1,2.04,Other,P n m a,mmm,NM,EXCLUDED,mp-1102869
Ir1Si3,0.0,Other,P 63 m c,6mm,NM,CANDIDATE,mp-569802
Ir1Sn2,0.715,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2083
Ir1Sn4,0.93,Other,I 41/a c d,4/mmm,NM,EXCLUDED,mp-31277
Ir1Te2,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-569388
Ir1Te2.67,0.0,Other,R -3,-3,NM,CANDIDATE,mp-1217357
Ir1Th1,0.37,Other,C m c m,mmm,NM,EXCLUDED,mp-12774
Ir1Ti3,5.185,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-544
Ir1U1,0.14,Heavy_fermion,P 1 21 1,2,FM,EXCLUDED,mp-1105762
Ir1V1,0.0,Other,C m m m,mmm,NM,EXCLUDED,mp-569250
Ir1V3,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-2006
Ir1Y4,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1207785
Ir1Zr2,7.365,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-1077297
Ir1Zr3,5.065,Other,I -4 2 m,-42m,NM,EXCLUDED,mp-30748
Ir2.5Sc1,2.46,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-12593
Ir2.76Nb1Pt0.24,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1186231
Ir2La1,0.24,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1463
Ir2La1Si2,1.198333333,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-3585
Ir2Lu1,2.47,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1761
Ir2P1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2082
Ir2Sc1,1.55,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-2263
Ir2Si2Th1,2.215,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1080037
Ir2Si2U1,1.1,Heavy_fermion,P 4/n m m,4/mmm,FM,EXCLUDED,mp-22758
Ir2Si2Y1,1.949166667,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-4653
Ir2Sr1,5.7,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-318
Ir2U1,0.0,Heavy_fermion,F d -3 m,m-3m,FM,CANDIDATE,mp-1655
Ir2Y3,1.61,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-1204272
Ir2Yb1,0.0,Heavy_fermion,F d -3 m,m-3m,NM,CANDIDATE,mp-1584
Ir2Zr1,4.1,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-715
Ir3Lu1.92Sc0.08Si5,3.1,Other,I b a m,mmm,NM,EXCLUDED,mp-568336
Ir3Si5Tb2,0.0,Other,I b a m,mmm,NM,EXCLUDED,mp-1187284
Ir3Si5Y2,3.005,Other,I b a m,mmm,NM,EXCLUDED,mp-1189012
Ir3Th7,1.52,Other,P 63 m c,6mm,NM,CANDIDATE,mp-571094
Ir3U1,0.0,Heavy_fermion,P m -3 m,m-3m,NM,CANDIDATE,mp-1044
Ir3V1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-865496
Ir3Y1,3.5,Other,R -3 m,-3m,NM,CANDIDATE,mp-1095497
Ir3Zr5,0.0,Other,P 61 2 2,622,NM,EXCLUDED,mp-30749
Ir4La3Sn13,2.55,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1197480
Ir4Lu2.5Sc2.5Si10,7.915,Other,A m m 2,mm2,NM,EXCLUDED,mp-1222705
Ir4Sc5Si10,8.311428571,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1195748
Ir4Si10Tm5,0.95,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1202399
Ir4Si10Y5,2.906666667,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1202645
Ir4Si10Yb5,0.0,Heavy_fermion,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1207588
Ir4Sn13Sr3,5.016666667,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1196422
Ir5La1,2.13,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1384
Ir5Th1,3.93,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-312
K0.18W1O3,3.9,Oxide,P 6 m m,6mm,FM,CANDIDATE,mp-1223833
K0.3Mo1O3,0.0,Oxide,C 1 2/m 1,2/m,FM,EXCLUDED,mp-541614
K0.45W1O3,0.885,Oxide,P -1,-1,FM,EXCLUDED,mp-761779
K0.9Mo1O3,0.0,Oxide,P m -3 m,m-3m,FM,CANDIDATE,mp-1040469
K0.9Re1O3,0.0,Oxide,I 41/a,4/m,NM,EXCLUDED,mp-4757
K1La1Nb2O7,0.0,Oxide,A m m 2,mm2,NM,EXCLUDED,mp-1223501
K1Nb0.008Ta0.992O3,0.0,Oxide,P m -3 m,m-3m,NM,CANDIDATE,mp-3614
K1Nb0.36Ta0.64O3,0.0,Oxide,F m -3 m,m-3m,NM,CANDIDATE,mp-1207114
K1Ni2S2,0.46,Ferrite,F d d d,mmm,NM,EXCLUDED,mp-17228
K1Ni2Se2,0.8,Ferrite,F d d d,mmm,NM,EXCLUDED,mp-1188089
K1Os2O6,9.60375,Oxide,P -1,-1,NM,EXCLUDED,mp-554461
K1S8V6,0.71,Chevrel,P -3,-3,NM,CANDIDATE,mp-1224064
K1Sb1,0.0,Other,P 1 21/c 1,2/m,NM,EXCLUDED,mp-1536
K1Tl1.5,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1211511
K2Mo15Se19,2.1,Chevrel,R -3 c,-3m,NM,CANDIDATE,mp-1204618
K2Mo6Se6,0.0,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-1104242
K2Te3,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-7289
La0.02Os4Pr0.98Sb12,1.8,Heavy_fermion,I m -3,m-3,NM,CANDIDATE,mp-4251
La0.06Pb3Th0.94,5.58,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-21381
La0.1Sr0.9Ti1O3,0.0,Oxide,P -1,-1,NM,EXCLUDED,mp-695042
La0.22Sr1.78Ti1O4,0.0,Oxide,I 4/m m m,4/mmm,NM,EXCLUDED,mp-5532
La0.25Sn3Th0.75,3.94,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-435
La0.28Pt0.72,0.54,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-912
La0.48Y0.52,1.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1222741
La0.5Sr0.5Ti1O3,0.0,Oxide,P -3 m 1,-3m,NM,CANDIDATE,mp-1218904
La0.75Pb3Pr0.25,0.8,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-21432
La0.84Mo6Se8,9.4,Chevrel,R -3,-3,FM,CANDIDATE,mp-37784
La0.8Os4Pr0.2Sb12,0.9865,Other,I m -3,m-3,NM,CANDIDATE,mp-1106066
La0.901Pr0.099Tl3,0.55,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-2001
La0.95Pr0.05Se1,0.7,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1161
La0.9Ni1Sr0.1O3,0.0,Oxide,R -3 c,-3m,FM,CANDIDATE,mp-19339
La1,5.343,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-26
La1.8Ni1Sr0.2O4,0.0,Oxide,P 42/n c m,4/mmm,AFM,EXCLUDED,mp-21874
La1Mg1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1104
La1Mg2,1.05,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1909
La1Mo6S8,6.73,Chevrel,R -3,-3,NM,CANDIDATE,mp-1103974
La1N0.98,0.0,Other,P 63 m c,6mm,NM,CANDIDATE,mp-567290
La1Ni0.9Pt0.1Si1,1.275,Other,I 41 m d,4mm,NM,EXCLUDED,mp-7030
La1Ni1P1O1,3.0,Ferrite,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1079685
La1Ni1Sb2,1.0,Ferrite,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1079572
La1Ni1Sn1,0.59,Other,P n m a,mmm,NM,EXCLUDED,mp-12613
La1Ni2P2,2.6,Ferrite,I 4/m m m,4/mmm,NM,EXCLUDED,mp-8250
La1Ni2Si2,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-5898
La1Os2,7.575,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1102043
La1Os4P12,0.9,Other,I m -3,m-3,NM,CANDIDATE,mp-1021506
La1P1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2384
La1P1Rh1,2.5,Other,I 41 m d,4mm,NM,EXCLUDED,mp-1070925
La1P2Pd2,0.75,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1207202
La1P2Ru2,3.933333333,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-9886
La1Pb1.5Sn1.5,1.18,Other,P m m m,mmm,NM,EXCLUDED,mp-1223431
La1Pb1.5Tl1.5,1.75,Other,P m m m,mmm,NM,EXCLUDED,mp-1223251
La1Pd0.8Sb2,3.25,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1078519
La1Pd2Sb2,1.3,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1079540
La1Pd2Si2,0.39,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-4954
La1Pd3,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-674
La1Pt2Si2,1.4325,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1080606
La1Pt3Si1,0.3,Other,P 4 m m,4mm,NM,EXCLUDED,mp-1206882
La1Pt5,0.0,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1832
La1Rh1Sb1,2.1,Other,P n m a,mmm,NM,EXCLUDED,mp-1211458
La1Rh1Si1,4.35,Other,P 21 3,23,NM,EXCLUDED,mp-1103155
La1Rh1Si3,2.245,Other,I 4 m m,4mm,NM,EXCLUDED,mp-1070124
La1Rh1Sn1,1.916666667,Other,P -6 2 m,-62m,NM,CANDIDATE,mp-12378
La1Rh2,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1702
La1Rh2Si2,1.658,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-5936
La1Rh3,2.6,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-974030
La1Ru2Si2,3.5,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-5105
La1Ru4Sb12,3.293333333,Other,I m -3,m-3,NM,CANDIDATE,mp-1188603
La1S1,0.84,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2350
La1Sb1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1065
La1Sb2,0.8,Other,C m c a,mmm,NM,EXCLUDED,mp-1101942
La1Si10,6.7,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1190852
La1Si2,1.6,Other,I 41/a m d,4/mmm,NM,EXCLUDED,mp-2062
La1Sn1.5Tl1.5,1.5,Other,P m m m,mmm,NM,EXCLUDED,mp-1223249
La1Sn2,3.6,Other,C m m m,mmm,NM,EXCLUDED,mp-1077735
La1Te1,1.48,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1560
La1Zn1,1.04,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-2615
La2.706Pr0.294Tl1,5.25,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-371
La2.7Pr0.3Se4,3.36,Other,I -4 3 d,-43m,NM,CANDIDATE,mp-491
La2.82Pr0.18S4,4.33,Other,I -4 3 d,-43m,NM,CANDIDATE,mp-567
La2Mg1,0.0,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-1094177
La2O4,0.0,Oxide,P -3 m 1,-3m,NM,CANDIDATE,mp-1968
La2Rh3Si5,4.4,Other,I b a m,mmm,NM,EXCLUDED,mp-8620
La2Rh3Sn5,1.85,Other,I b a m,mmm,NM,EXCLUDED,mp-30755
La2S3,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-7475
La2Sb1,3.025,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-759
La2Se3,0.0,Other,I -4 2 d,-42m,NM,EXCLUDED,mp-32798
La2Sr1O4.003,0.0,Oxide,C m c m,mmm,NM,EXCLUDED,mp-752533
La3Ni1,3.6,Other,P 63 m c,6mm,NM,CANDIDATE,mp-573855
La3Ni4P4O2,2.2,Ferrite,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1210896
La3Pb13Rh4,2.2,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1203228
La3Pd4Si4,2.065,Other,I m m m,mmm,NM,EXCLUDED,mp-568625
La3Pd5Si1,1.4,Other,I m m a,mmm,NM,EXCLUDED,mp-571217
La3Rh4Sn13,3.1,Other,I 41 3 2,432,NM,EXCLUDED,mp-640274
La3Ru1,4.875,Other,C 1 2/c 1,2/m,NM,EXCLUDED,mp-1104417
La3Ru4Sn13,2.65,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1196992
La3Sb3Y1,0.13,Other,C 1 2 1,2,NM,EXCLUDED,mp-1223124
La3Sn1,6.2,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1681
La3Sn7,0.0,Other,C m m m,mmm,NM,EXCLUDED,mp-1079273
La3Te4,4.0275,Other,I -4 3 d,-43m,NM,CANDIDATE,mp-879
La4Pb1Sb2,0.0,Other,I -4 2 d,-42m,NM,EXCLUDED,mp-1223115
La4Sb2Sn1,0.0,Other,I -4 2 d,-42m,NM,EXCLUDED,mp-1223181
La4Sb3,0.25,Other,I -4 3 d,-43m,NM,CANDIDATE,mp-1223
La5Si3,1.6,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-10961
La5Sn3,0.0,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-510494
La6Sb15Zn1,3.74,Other,C 1 m 1,m,NM,EXCLUDED,mp-1223161
La7Pd3,1.48,Other,P 63 m c,6mm,NM,CANDIDATE,mp-1105925
La7Rh3,2.59,Other,P 63 m c,6mm,NM,CANDIDATE,mp-1189031
La7Ru3,1.835,Other,P n m a,mmm,NM,EXCLUDED,mp-1202486
Li0.33S2Ta1,0.0,Other,P -3 m 1,-3m,NM,CANDIDATE,mp-1222716
Li0.33V2O5,8.5,Oxide,P 1 21/c 1,2/m,FM,EXCLUDED,mp-776036
Li0.3W1O3,2.2,Oxide,P m -3,m-3,FM,CANDIDATE,mp-675212
Li0.45Nb1O2,5.5,Oxide,P n n m,mmm,NM,EXCLUDED,mp-758673
Li0.68Nb1O2,5.15,Oxide,P 63/m m c,6/mmm,NM,CANDIDATE,mp-3924
Li1Pb1,7.2,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-2314
Li1V2O4,0.0,Oxide,F d -3 m,m-3m,FM,CANDIDATE,mp-19394
Li1Zn1,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1934
Li2Mo15Se19,2.6,Chevrel,R -3 c,-3m,FM,CANDIDATE,mp-1197196
Li2Mo6Se6,0.0,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-1103933
Li3Mo15Se19,3.5,Chevrel,P 1 21/m 1,2/m,NM,EXCLUDED,mp-1223482
Lu0.275Rh0.725,1.27,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-865802
Lu1Mo6S8,2.2,Chevrel,R -3,-3,NM,CANDIDATE,mp-1104347
Lu1Os2,3.49,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-567590
Lu1Pb1Pd2,2.4,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1206796
Lu1Pd2Si2,0.67,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-3507
Lu1Pd2Sn1,2.98,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-5181
Lu1Pt2Si2,1.9,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-7109
Lu1Rh1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-377
Lu1Rh2,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1728
Lu1Rh2Si2,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-3108
Lu1Rh2Sn1,2.9,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-865378
Lu1Ru2,1.545,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-568630
Lu1Ru2Si2,2.4,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-10453
Lu1S1,1.1,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-656
Lu1Se1,0.56,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-414
Lu1Si3,6.78,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-973668
Lu1Tc2,9.9,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1095487
Lu1Te1,0.0,Other,P -6 m 2,-62m,FM,CANDIDATE,mp-1185504
Lu2Ni3Si5,0.0,Other,I b a m,mmm,NM,EXCLUDED,mp-1105977
Lu2Rh1,0.0,Other,P 63/m c m,6/mmm,NM,CANDIDATE,mp-865778
Lu3Rh1,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1210757
Lu3Si5,7.0,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1103
Mg0.47Tl0.53,2.75,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-11498
Mg1Y1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-615
Mg1Zn1,0.925,Other,P m m a,mmm,NM,EXCLUDED,mp-978268
Mg24Y5,0.0,Other,I -4 3 m,-43m,NM,CANDIDATE,mp-1988
Mg2Pb1,5.6,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-20724
Mg2Zn11,0.88,Other,P m -3,m-3,NM,CANDIDATE,mp-30784
Mg2Zn3,0.76,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-978269
Mg6Ni16Si7,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-570457
Mg7Zn3,0.28,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1094451
Mn0.24Ni0.76,0.0,Other,P m -3 m,m-3m,FM,CANDIDATE,mp-11501
Mn0.2Ru0.8,0.0,Other,P 63/m m c,6/mmm,FiM,CANDIDATE,mp-865045
Mn1Ni1Zr1,0.0,Other,A m m 2,mm2,FiM,EXCLUDED,mp-1215315
Mn1P1,0.0,Other,P n m a,mmm,FM,EXCLUDED,mp-2662
Mn1Sb1,0.0,Other,P 63/m m c,6/mmm,FM,CANDIDATE,mp-786
Mn1Sn2,0.0,Other,I 4/m c m,4/mmm,FM,EXCLUDED,mp-20086
Mn1U6,2.4525,Heavy_fermion,I 4/m c m,4/mmm,NM,EXCLUDED,mp-568195
Mn2O3,0.0,Oxide,P b c a,mmm,FM,EXCLUDED,mp-1172875
Mn3Si1,0.0,Other,F m -3 m,m-3m,FM,CANDIDATE,mp-20211
Mo0.18Tc0.82,13.7,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1187395
Mo0.202Zr0.798,5.25,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1207454
Mo0.23Re0.77,9.25,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-974589
Mo0.25Ru0.75,2.6,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-975834
Mo0.25Tc0.75,15.8,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1217419
Mo0.28O0.72,0.0,Oxide,C 1 2/m 1,2/m,FM,EXCLUDED,mp-714883
Mo0.28Rh0.72,0.03,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-30787
Mo0.3Si1,11.7,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-978525
Mo0.3U0.7,1.97,Heavy_fermion,I 4/m m m,4/mmm,NM,EXCLUDED,mp-30789
Mo0.45Re0.55,6.185,Other,C m m m,mmm,NM,EXCLUDED,mp-1219485
Mo0.45Tc0.55,14.0,Other,C m m m,mmm,NM,EXCLUDED,mp-1217398
Mo0.4Re0.6,6.245,Other,C m m 2,mm2,NM,EXCLUDED,mp-1219297
Mo0.5Pb0.5,3.52,Other,I 41/a m d,4/mmm,FM,EXCLUDED,mp-1065115
Mo0.5Pd0.5,3.52,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1221413
Mo0.5Rh0.5,1.94,Other,P m m a,mmm,NM,EXCLUDED,mp-12595
Mo0.5V0.5,0.11,Other,C m m m,mmm,NM,EXCLUDED,mp-1216323
Mo0.67Zr0.33,1.56,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-2049
Mo0.69Pt0.31,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1232
Mo0.6Ru0.4,7.85,Other,C m m 2,mm2,NM,EXCLUDED,mp-1221651
Mo0.75Re0.25,10.0,Other,C m m m,mmm,NM,EXCLUDED,mp-1219493
Mo0.75W0.75,0.0,Other,C m m m,mmm,NM,EXCLUDED,mp-1221387
Mo0.77Si0.23,1.7,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1275
Mo1,0.912666667,Other,P 1 21 1,2,NM,EXCLUDED,mp-1181019
Mo15Na2Se19,0.0,Chevrel,R -3 c,-3m,NM,CANDIDATE,mp-1199740
Mo15Na3Se19,0.0,Chevrel,P 1 21/m 1,2/m,NM,EXCLUDED,mp-1221553
Mo15Pb2Se19,0.0,Chevrel,R -3 c,-3m,NM,CANDIDATE,mp-1200386
Mo15Se19,5.29,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-570170
Mo15Se19Sn2,0.0,Chevrel,R -3 c,-3m,NM,CANDIDATE,mp-1199886
Mo1Ni1P1,15.5,Ferrite,P -6 2 m,-62m,NM,CANDIDATE,mp-7632
Mo1Ni1P2,0.0,Ferrite,P 63/m m c,6/mmm,NM,CANDIDATE,mp-10208
Mo1O2,0.0,Oxide,P n m a,mmm,FM,EXCLUDED,mvc-5806
Mo1P1,0.0,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-219
Mo1P1Ru1,15.5,Other,P n m a,mmm,NM,EXCLUDED,mp-22451
Mo1P2,0.0,Other,C m c 21,mm2,NM,EXCLUDED,mp-1887
Mo1Pt2,0.0,Other,I m m m,mmm,NM,EXCLUDED,mp-952
Mo1Re3,9.89,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1219135
Mo1Ru1,10.0,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1221386
Mo1S2,0.0,Chevrel,P 63/m m c,6/mmm,NM,CANDIDATE,mp-2815
Mo1Se2,0.0,Chevrel,P -3 m 1,-3m,NM,CANDIDATE,mp-1027692
Mo1Si2,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-2592
Mo1Te2,0.3,Chevrel,P -3 m 1,-3m,NM,CANDIDATE,mp-1030319
Mo25Nb25Ti50,4.3,Other,I m m m,mmm,FM,EXCLUDED,mp-1096197
Mo2N1,5.1,Other,I 41/a m d,4/mmm,NM,EXCLUDED,mp-27953
Mo2O5,0.0,Oxide,P m m n,mmm,FM,EXCLUDED,mvc-4607
Mo2Re4Se8,0.0,Chevrel,P 1,1,NM,EXCLUDED,mp-1219132
Mo3Os1,11.0225,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-801
Mo3P1,5.936666667,Other,I -4 2 m,-42m,NM,EXCLUDED,mp-10004
Mo3S2Se2,3.3,Chevrel,P 1,1,NM,EXCLUDED,mp-1221501
Mo3Sb7,2.97,Other,I m -3 m,m-3m,NM,CANDIDATE,mp-1521
Mo3Si2,0.0,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1087230
