formula_supercon,tc_K,sc_class,spacegroup,point_group,mp_ordering,verdict,mp_id
Ca1Pt2,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-842
Ca1Rh1.2Sn4.5,8.7,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-4363
Ca1Rh2,6.4,Other,F d -3 m,m-3m,FM,CANDIDATE,mp-571262
Ca1Se1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1415
Ca1Si1,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-1563
Ca1Si1.9,1.35,Other,R -3 m,-3m,NM,CANDIDATE,mp-2700
Ca1Si2.2,1.37,Other,R -3 m,-3m,NM,CANDIDATE,mp-2699
Ca1Si3,4.25,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1205346
Ca1Ti1O3,0.0,Oxide,P n m a,mmm,NM,EXCLUDED,mp-4019
Ca1Tl3,2.04,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-526
Ca1Zn5,0.0,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1734
Ca2Cu1O3,0.0,Cuprate,I m m m,mmm,NM,EXCLUDED,mp-5869
Ca2Cu3Ga1Sr2O9,71.5,Cuprate,I m a 2,mm2,NM,EXCLUDED,mp-1209020
Ca2In1N1,0.6,Other,C m c m,mmm,NM,EXCLUDED,mp-510086
Ca2K1Nb3O10,1.0,Oxide,P 1 21/m 1,2/m,NM,EXCLUDED,mp-557195
Ca2Pt3Si5,1.3,Other,I b a m,mmm,NM,EXCLUDED,mp-1214093
Ca2Ru2O7,0.0,Oxide,F d -3 m,m-3m,FM,CANDIDATE,mp-554638
Ca2Si1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-2517
Ca3Co4Sn13,5.75,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1200470
Ca3Ge13Ir4,1.7,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1202780
Ca3Ge13Rh4,2.1,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1201179
Ca3Ge4Ir4,1.7,Other,I -4 3 m,-43m,NM,CANDIDATE,mp-1095240
Ca3Ir4Sn13,6.95,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1200211
Ca4Cl4Cu3Sm2O8,0.0,Cuprate,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1214003
Ca4Pb19Rh6,3.3,Other,I 2 3,23,NM,EXCLUDED,mp-1214426
Cd0.04Cu0.96S2,1.3,Other,P n n m,mmm,NM,EXCLUDED,mp-849086
Cd0.06Cu0.94Se2,1.3,Other,P n n m,mmm,NM,EXCLUDED,mp-2000
Cd0.18Sn0.72,3.65,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1183720
Cd0.18Tl0.82,2.54,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-979269
Cd0.2Mg0.08,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-1094763
Cd0.3Hg0.7,1.7,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-30488
Cd0.5Mg0.5,0.0,Other,A m m 2,mm2,NM,EXCLUDED,mp-978274
Cd0.6Mg0.4,0.016,Other,C 1 2/c 1,2/m,NM,EXCLUDED,mp-1094694
Cd0.75Mg0.25,0.16,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-30491
Cd1,0.52414,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-94
